제목,링크,내용
<b>어린이보호구역</b> 단속카메라 절반은 '먹통'…경찰·지자체 '방치',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005636402,어린이보호구역의 교통사고 예방을 위한 이른바 민식이법 시행 이후 스쿨존 내에 과속단속카메라 설치는 크게 늘었지만 상당수가 무용지물인 것으로 나타났다 일 국회 행정안전위원회 소속 이형석 더불어민주당 
<b>어린이 보호구역</b>서 아이 들이받은 역주행 오토바이…누리꾼들 &quot;운전자 입장도...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004977787,아이들도 항상 주위를 잘 살피고 안전할 때 건너야 한다는 걸 부모들이 잘 교육할 필요성이 있는 영상 민식이법 논하기 전에 어린이보호구역 내 불법주차 차량을 강력단속하는 것이 먼저다 불법을 저지르고 있는 차들을 
&quot;<b>어린이</b> 교통사고 예방 위해&quot;…파주시, 초등학교 앞 불법 주·정차 CCTV 설치,http://www.joongboo.com/news/articleView.html?idxno=363504698,파주시가 금촌초등학교 능안초등학교 등 어린이보호구역 내에 불법 주정차 단속 를 설치하고 일부터 단속한다 어린이보호구역 내 불법 주정차로 인한 어린이 교통사고를 예방하고 불법 주정차 차량을 
(제주), 제주지역 <b>어린이</b> 교통사고 증가세,http://www.jibs.co.kr/news/articles/articlesDetail/17790?feed=na,다만 어린이 보호구역 안에서의 사고는 올해 건 발생에 명이 다쳤고 지난해 절반 수준으로 나타났습니다 제주경찰청은 다음 달 말까지 초등학생들을 대상으로 교통안전 지도제작 공모전을 열고 어린이 눈높이에서 
메디컬아이피 박상준 대표, ‘<b>어린이</b> 교통안전 챌린지’ 동참,http://www.bokuennews.com/news/article.html?no=208225,어린이 교통안전 릴레이 챌린지는 행정안전부와 교육부 주최로 어린이 보호구역 내 사고 예방과 어린이 교통안전을 최우선으로 하는 운전 문화 정착을 위해 마련된 공익 캠페인이다 박상준 대표는 일단 
강동구, <b>어린이</b> 통학로 안전하게 지킨다,http://www.jejutwn.com/news/article.html?no=93414,우선 음성안내 보조장치를 어린이보호구역 개소 강일초 고일초고덕유치원 명덕초 천동초에 설치하여 무단횡단을 방지하고 안전한 보행을 유도한다 음성안내를 통해 운전자와 보행자에게 도로 상황 및 
경기북부경찰청, <b>어린이</b> 안전을 위해 주민의견 경청,http://www.joongboo.com/news/articleView.html?idxno=363505140,경기북부경찰청과 경기도북부자치경찰위원회는 어린이보호구역 내 어린이들의 안전을 위해 도민과 함께하는 어린이보호구역 도로안전시설 개선을 시행 중이라고 일 밝혔다 경찰은 자치경찰시대에 발맞춰 주민들의 
CJ대한통운, <b>어린이</b> 등하굣길에 '노란발자국' 의미는?,http://www.sportsq.co.kr/news/articleView.html?idxno=432380,횡단보도 건너기 전에는 잠시 멈춰요 대한통운이 경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치하며 어린이들을 위한 안전한 등하굣길 만들기에 나섰다 대한통운은 일 굿네이버스와 함께 
광주 서구, 미세먼지 안심 <b>어린이</b> 통학로 조성,http://www.sisamagazine.co.kr/news/articleView.html?idxno=403925,광주 서구구청장 서대석가 화개초등학교와 마개초등학교 앞 등 금호동 주요 어린이보호구역 울타리 곳에 대기오염물질을 정화하는 미세먼지 흡착필터를 설치했다 광주 서구 미세먼지 안심 어린이 통학로 조성사진 
광주 서구, 미세먼지 안심 <b>어린이</b> 통학로 조성,http://www.newsway.co.kr/news/view?tp=1&ud=2021092615345301853,광주광역시 서구구청장 서대석가 화개초등학교와 마개초등학교 앞 등 금호동 주요 어린이보호구역 울타리 곳에 대기오염물질을 정화하는 미세먼지 흡착필터를 설치했다 자동차 등에서 배출하고 있는 미세먼지를 
진주시, 공익시설 <b>어린이</b> 상해 특별보험금 지급 제도 운영,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004973172,주요 보장내용은 공공시설 어린이놀이시설 등에서 발생한 사고 어린이집에서 보육 활동 중에 발생한 사고 어린이보호구역 교통사고 부상치료비만 세 이하 미아 찾기 지원금만 세 이하 폭발화재붕괴 
이소영 &quot;<b>어린이 보호구역</b>에 미인가 대안학교도 포함하는 길 열려&quot;,http://www.enewstoday.co.kr/news/articleView.html?idxno=1515323,어린이 보호구역 지정대상에 미인가 대안학교를 포함하는 등 보호구역 지정대상이 확대돼 어린이 안전을 더욱 두텁게 보호할 수 있는 길이 열렸다 국회 더불어민주당 이소영 의원경기 의왕과천에 따르면 어린이 
광주 서구, 미세먼지 안심 <b>어린이</b> 통학로 조성,http://www.newsmaker.or.kr/news/articleView.html?idxno=122457,광주 서구구청장 서대석가 화개초등학교와 마개초등학교 앞 등 금호동 주요 어린이보호구역 울타리 곳에 대기오염물질을 정화하는 미세먼지 흡착필터를 설치했다 자동차 등에서 배출하고 있는 미세먼지를 비롯한 
DB손보, <b>어린이</b> 교통안전·소외계층 지원 위한 옐로카펫·사랑나눔봉사 협약 ...,http://www.thebigdata.co.kr/view.php?ud=202109270911345274d0a8833aad_23,손해보험대표 김정남은 지난 일 초록우산어린이재단회장 이제훈과 어린이보호구역 교통안전을 위한옐로카펫설치 및 소외계층 지원을 위한사랑나눔봉사협약을 체결했다고 일 밝혔다 어린이 교통사고 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.businesskorea.co.kr/news/articleView.html?idxno=77505,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
DB손해보험, 초록우산 <b>어린이</b>재단과 '옐로카펫·사랑나눔봉사' 협약 체결,http://www.datasom.co.kr/news/articleView.html?idxno=117919,사진손해보험 손해보험대표 김정남이 초록우산어린이재단회장 이제훈과 어린이보호구역 교통안전을 위한 옐로카펫 설치 및 소외계층 지원을 위한 사랑나눔봉사 협약을 체결했다 손해보험 관계자에 
박상준 메디컬아이피 대표, '<b>어린이</b> 교통안전 챌린지' 동참,http://www.rapportian.com/news/articleView.html?idxno=138982,어린이 교통안전 릴레이 챌린지는 행정안전부교육부 주최로 어린이 보호구역 내 사고 예방과 어린이 교통안전을 최우선으로 하는 운전 문화 정착을 위해 마련된 공익 캠페인 이 캠페인은 대국민 아이디어 공모로 
태백시, <b>어린이 보호구역</b> 노란신호등 교체,http://www.cfnews.kr/news.aspx/51721,또한 년 황지초 어린이보호구역 내 경보등 개 설치한 것을 시작으로 년도에는 노란색 신호등을 상장초등학교 개소 개 중앙초등학교 개소 개를 설치했으며 올해에는 철암초등학교 개소 개를 설치 
용인시, <b>어린이보호구역</b> 6곳 안전사고 예방시설 정비,http://www.enewstoday.co.kr/news/articleView.html?idxno=1513993,사진용인시 용인시는일기흥구청곡초등학교수지구풍덕초등학교앞등관내어린이보호구역곳의안전사고예방시설을정비했다고밝혔다 어린이보호구역내에차량의서행을유도하는시설을 
용인시, <b>어린이보호구역</b> 6곳 안전사고 예방시설 정비,http://www.gukjenews.com/news/articleView.html?idxno=2314600,동백유치원 앞 경계석과 보도를 정비한 모습사진용인시 용인시는 일 기흥구 청곡초등학교 수지구 풍덕초등학교 앞 등 관내 어린이보호구역 곳의 안전사고 예방시설을 정비했다고 밝혔다 어린이보호구역 내에 
CJ대한통운, <b>어린이</b> 등하굣길에 교통사고 예방 ‘노란발자국’ 부착,https://www.ksg.co.kr/news/main_newsView.jsp?pNum=131864,대한통운은 지난 일 굿네이버스와 함께 경기도 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다고 밝혔다 노란 발자국 설치 작업은 
DB손해보험, <b>어린이</b> 교통안전·소외계층 지원 위한 옐로카펫·사랑나눔봉사 협...,http://www.dailysmart.co.kr/news/articleView.html?idxno=50277,손해보험이 지난 일 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫 설치소외계층 지원을 위한 사랑나눔봉사 협약을 체결했다 어린이 교통사고 예방을 위해 손해보험이 추진하고 있는 
이소영, &quot;<b>어린이 보호구역</b>에 미인가 대안학교도 포함하는 길 열려&quot;,http://www.newsworker.co.kr/news/articleView.html?idxno=130783,어린이 보호구역 지정대상에 미인가 대안학교를 포함하는 등 보호구역 지정대상이 확대돼 어린이 안전을 더욱 두텁게 보호할 수 있는 길이 열렸다 국회 더불어민주당 이소영 의원경기 의왕과천에 따르면 어린이 
&quot;전통시장 활성화 위한 공영주차장이 왜 하필 초등학교 옆 <b>어린이</b>공원 지하인...,https://www.yeongnam.com/web/view.php?key=20210929010003542,공원은 두 방향의 도로와 인접해 있는데 모두 어린이보호구역으로 지정돼 있다 지난 일 오후 시쯤 찾은 에덴어린이공원에선 하교한 초등학생들이 책가방을 메고 그네를 타거나 놀이 시설에 오르면서 노는 모습을 볼 
교통사고 다발 <b>어린이보호구역</b> 집중 점검,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004707348,행정안전부가 교통사고가 잦은 어린이보호구역에 대해 관계기관 합동 현장점검을 실시한다 사고원인 분석 및 교통안전시설 개선을 위해서다 일 행안부는 교통사고가 건 이상 발생했거나 사망사고가 발생한 
용인시, <b>어린이보호구역</b> 6곳 안전사고 예방시설 정비,http://www.incheonilbo.com/news/articleView.html?idxno=1113564,사진제공용인시 용인시는 일 기흥구 청곡초등학교 수지구 풍덕초등학교 앞 등 관내 어린이보호구역 곳의 안전사고 예방시설을 정비했다고 밝혔다 어린이보호구역 내에 차량의 서행을 유도하는 시설을 정비해 
'<b>어린이보호구역</b> 모녀 치어 엄마 사망' 운전자 징역 4년 6개월,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=214&aid=0001147258,살 딸과 함께 어린이보호구역을 지나가던 어머니를 치어 숨지게 한 혐의로 기소된 대 운전자에게 징역형이 선고됐습니다 인천지법 형사부는 어린이보호구역을 지나던 모녀를 차로 치어 어머니를 숨지게 하고 딸을 
광주 <b>어린이보호구역</b> 사망사고 운전자, 항소심서 징역 2년 6개월 선고 받아.....,http://www.idsn.co.kr/news/articleView.html?idxno=55742,어린이보호구역 자료사진매일안전신문  광주 어린이보호구역스쿨존에서 사망사로를 낸 운전자가 항소심에서 징역 년 개월을 선고 받았다 이는 징역 년을 선고한 원심을 파기하고 감형을 받은 것이다 
[미래 신산업 허브, 인천] 통학길 안전 강화, 무인단속카메라 설치미래 주역 ...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=025&aid=0003138320,학교를 가리던 방음벽의 담쟁이 넝쿨을 제거하고 노란색으로 어린이 보호 구역을 표시했다 운행 제한 속도를 시속 에서 로 하향 조정하고 불법 우회전을 막는 교통안전장치를 마련했다 중구청과 협의해 경찰은 
이소영 &quot;<b>어린이 보호구역</b> 지정에 미인가 대안학교 포함하는 길 열려&quot;,http://www.iminju.net/news/articleView.html?idxno=75494, 뉴시스 어린이 보호구역 지정대상에 미인가 대안학교도 포함돼 어린이 안전을 더 두텁게 보호할 수 있게 됐다 더불어민주당 이소영 의원이 발의한 도로교통법 개정안이 일 국회 본회의를 통과하면서 어린이 
aT 대전세종충남본부, <b>어린이</b> 교통안전 챌린지 동참,http://www.ccnnews.co.kr/news/articleView.html?idxno=232776,한국농수산식품유통공사 대전세종충남지역본부 본부장 배민식는어린이 보호구역 내 교통사고를 예방하고 어린이 보호를 위한 사회적 공감대 형성을 위해 어린이 교통안전 릴레이 챌린지에 동참했다고 일 
DB손보, 옐로카펫·사랑나눔봉사 협약 체결...&quot;<b>어린이</b> 교통안전 및 소외계층 ...,http://www.newslock.co.kr/news/articleView.html?idxno=46490,사진 손해보험 제공 뉴스락 손해보험은초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫 설치 및 소외계층 지원을 위한 사랑나눔봉사 협약을 체결했다고 일 밝혔다 옐로 카펫 설치 캠페인은 
강동구도시관리공단은, <b>어린이보호구역</b>내 주거지주차구획 일제 정비,https://www.siminilbo.co.kr/news/newsview.php?ncode=1065590871947452,서울 강동구도시관리공단은 어린이보호구역내 주거지주차구획을 일제 정비한다고 밝혔다 어린이보호구역 주통학로는도로교통법에 따라 노상주차장을 운영할 수 없다 하지만 주택가 주차난 문제로 부득이하게 
강동구, <b>어린이</b> 통학로 안전하게 지킨다,http://www.shinailbo.co.kr/news/articleView.html?idxno=1465724,우선음성안내 보조장치를 어린이보호구역 개소 강일초 고일초고덕유치원 명덕초 천동초에 설치해무단횡단을 방지하고 안전한 보행을 유도한다 음성안내를 통해 운전자와 보행자에게 도로 상황 및 
(제주), 제주지역 <b>어린이</b> 교통사고 증가세,http://www.jibs.co.kr/news/replay/viewNewsReplayDetail/2021092820533703806?feed=na,발생한 어린이 교통사고는 건으로 지난해보다  늘었습니다 다친 어린이도 명으로  증가했습니다 반면 어린이 보호구역 안에서 발생한 교통사고는 건으로 지난해 절반으로 줄었습니다  이효형 기자
'10초만에 65만원 벌금'… <b>어린이보호구역</b>서 차량 5대 무더기 신호위반,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=417&aid=0000736111,그는 무언가에 홀린 것처럼 대 모두 어린이보호구역에서 신호를 무시했다며 전국 각지에서 국고를 채워주러 모였다고 비꼬았다 이어 이로써 도로가 더욱 안전해지겠다고 썼다 이에 누리꾼은 해당 
용인시, <b>어린이보호구역</b> 6곳 안전사고 예방시설 정비,http://www.kmaeil.com/news/articleView.html?idxno=307190,용인시는 일 기흥구 청곡초등학교 수지구 풍덕초등학교 앞 등 관내 어린이보호구역 곳의 안전사고 예방시설을 정비했다고 밝혔다 사진용인시 용인시는 일 기흥구 청곡초등학교 수지구 풍덕초등학교 앞 등 관내 
미추2<b>구역</b> 학세권 아파트 '주안 센트럴팰리스' 조합원 모집 마감임박,http://www.sisamagazine.co.kr/news/articleView.html?idxno=404162,어린이보호구역 개 지역에 단속 카메라 대를 설치해 안전한 통학로를 확보하고 어린이보호구역 안전운전 문화정착을 위해 최선을 다하고 있다 또한 장애아전문 어린이 집인 국공립 두리 하나어린이집과 
용인시, <b>어린이보호구역</b> 6곳 안전사고 예방시설 정비,http://www.newsworks.co.kr/news/articleView.html?idxno=572351,용인시가일 기흥구 청곡초등학교 수지구 풍덕초등학교 앞 등 관내 어린이보호구역 곳의 안전사고 예방시설을 정비했다 시설물이 설치된 곳은 청곡초 풍덕초 독정초 동백유치원 예성유치원 홍익어린이집 앞 등 
파주시, 초등학교 앞 <b>어린이보호구역</b> 내 불법 주·정차 CCTV 설치,http://www.boannews.com/media/view.asp?idx=101003&kind=,파주시가 금촌초등학교 능안초등학교 등 어린이보호구역 내에 불법 주정차 단속 를 설치하고 지난 일부터 단속을 시작했다 이는 어린이보호구역 내 불법 주정차로 인한 어린이 교통사고를 예방하고 불법 주 
메디컬아이피 박상준 대표, ‘<b>어린이</b> 교통안전 챌린지’ 동참,http://www.yakup.com/news/index.html?mode=view&cat=12&nid=261416,어린이 교통안전 릴레이 챌린지는 행정안전부와 교육부 주최로 어린이 보호구역 내 사고 예방과 어린이 교통안전을 최우선으로 하는 운전 문화 정착을 위해 마련된 공익 캠페인이다  메디컬아이피 박상준 
인천시, <b>어린이보호구역</b> 내 교차로 모두 노란신호등으로,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010716385,또 민식이법과 관련해 어린이보호구역 교통안전시설 확충을 위해 년 억원 년 억원 등 국비를 지원 받았다 또 지난해 억원 교차로 개소 올해에는 총사업비 억 중 억원을 집행해 무신호 횡단보도 
<b>어린이보호구역</b> 불법 주정차 여전…주민신고 11만 건,http://news.lghellovision.net/news/newsView.do?soCode=SCP0000000&idx=319455,민식이법이 시행됐지만 어린이보호구역 불법 주정차는 여전한 것으로 나타났습니다 더불어민주당 한병도 의원이 행정안전부에서 받은 자료를 보면 지난 월까지 년 여 동안 전국 어린이보호구역 불법 
DB손보, <b>어린이</b> 교통안전 지원 협약,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=022&aid=0003623062,박기현 손해보험 전략기획팀장왼쪽과 여승수 초록우산어린이재단 서울지역본부장이 지난 일 서울 강남구 대치동 금융센터에서 어린이보호구역 교통안전을 위한 옐로카펫 설치 및 소외계층 지원을 위한 협약 
인천서부경찰서, <b>어린이</b> 교통사고 예방 등굣길 교통안전 캠페인 실시,http://www.kmaeil.com/news/articleView.html?idxno=308451,캠페인에 참여한 관계자는 현재 정문 앞 주정차로 인해 어린이 교통사고 위험이 높은데 월 일 부터는 어린이보호구역 내에선 원칙적으로 모든 차의 주정차가 금지되며 어린이 통학 차량도 허용된 곳에서만 
DB손보, 초록우산<b>어린이</b>재단과 옐로카펫·사랑나눔봉사 협약 체결,https://www.asiatoday.co.kr/view.php?key=20210927010013059,손해보험은 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫 설치 및 소외계층 지원을 위한 사랑나눔봉사 협약을 체결했다고 일 밝혔다 손해보험이 추진하고 있는 옐로 카펫 설치 
교통사고 잦은 <b>어린이보호구역</b> 36곳 손본다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010715499,기사내용 요약작년 건 사고로 명 사상 보행중 사고 당해 교통사고가 잦은 어린이보호구역스쿨존 곳이 일제 정비된다 행정안전부는 오는 일 나흘간 전국 개 시도 어린이보호구역 곳에 대한 
제주 스쿨존 교통사고 여전..'<b>어린이</b> 교통안전 지도' 만든다,http://www.jejuilbo.net/news/articleView.html?idxno=170697,다만 어린이보호구역스쿨존에서의 어린이 교통사고는 건 발생해 지난해 건보다  줄었다 최근 년년간 스쿨존에서 어린이 교통사고가 가장 많이 발생한 곳은 월랑초등학교건로 나타났다 이어 
CJ대한통운, 경기 군포서 등하교 <b>어린이</b>위한 '안전길' 만들기 나서,http://www.metroseoul.co.kr/article/20210928500018,굿네이버스와 어린이 보호구역 횡단보도에 노란 발자국 설치 대한통운이 경기도 군포시 어린이보호구역에 노란발자국을 설치하고 있다 대한통운 대한통운이 경기 군포 어린이 보호구역 횡단보도에 노란 발자국 
인천 <b>어린이보호구역</b> 교통신호 노란신호등으로 교체,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001470434,인천시가 어린이들의 안전한 보행환경 조성을 위해 어린이보호구역을 쉽게 알아볼 수 있도록 추진한다 인천시는 인천경찰청과 협업해 관내 초등학교 등 개교 교차로 곳에 교통신호등을 노란신호등으로 교체해 
강진군, <b>어린이보호구역</b> 휴일 점멸 시범 운영,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=468&aid=0000789853,강진중앙초등학교 앞 어린이보호구역 전남 강진군이 일부터 강진군 대구면 대구초등학교 앞 어린이 보호구역 신호등을 휴일에는 점멸 운영한다고 밝혔다 지난 월 정부의 안전속도  시책 추진으로 대구초등학교 
<b>어린이보호구역</b> 불법 주정차 여전,http://www.cctimes.kr/news/articleView.html?idxno=674152,어린이보호구역 내 교통사고 처벌기준을 강화한 민식이법 시행 이후에도 충북지역 어린이보호구역 내 불법 주정차가 여전한 것으로 나타났다 일 국회 행정안전위원회 더불어민주당 한병도 의원전북 익산을이 
<b>어린이보호구역</b>, 불법 주ㆍ정차 '여전',http://www.breaknews.com/835362,민식이법 시행으로 처벌이 한층 강화되는 등 주민신고제를 통한 신고 역시 점차 늘어나고 있지만 스쿨존어린이보호구역에서 이뤄지는 불법 주정차가 여전한 
전남 <b>어린이보호구역</b>, 단속 카메라 설치율 73%↑,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010715440,기사내용 요약내년이면  설치 전망 전남경찰청은 지역 어린이보호구역 내 무인 단속 장비 설치율이 를 넘어섰다고 일 밝혔다 전남 지역 내 어린이보호구역은 지난달 말 기준 곳으로 이 중 곳에 무인 
강동구, <b>어린이보호구역</b> 과속단속카메라 확대 설치,https://www.ibabynews.com/news/articleView.html?idxno=98706,강동구는 안전한 등하굣길 환경 조성을 위해 년 하반기 관내 어린이보호구역 개소에 과속단속카메라를 설치한다고 밝혔다 강동구청 강동구구청장 이정훈는 안전한 등하굣길 환경 조성을 위해 년 하반기 
[영상]10초 만에 5대나? <b>어린이보호구역</b> '단체 신호위반'[이슈시개],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003554075,핵심요약어린이 보호구역서 차량 대 좌회전 신호 무시하고 직진 교통법규 위반으로 신고전국 각지에서 온 차 교통약자 보호구역 법규 위반시 과태료범칙금벌점 배 부과 어린이 보호구역에서 신호 위반하는 
[부산소식]대선주조 조우현 ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 등,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010726248,대선주조 조우현 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 캠페인에 일 동참했다 어린이 교통안전 릴레이 챌린지 캠페인은 지난해 월 행정안전부에서 
인천 <b>어린이보호구역</b> 속도위반 급증…올 상반기 전년 한해 수준 돌파,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005619537,올 월에는 신광초 어린이보호구역에서 톤 화물트럭을 몰던 대 운전자가 살 초등학생을 치어 숨지게 하는 사건이 있었다 해당 운전자는 무단횡단을 한 어린이의 과실을 앞세워 무죄를 주장하고 있다 
금호타이어, <b>어린이</b> 교통안전교육 'All-ways, go with you' 실시,http://www.newsfreezone.co.kr/news/articleView.html?idxno=338289,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 
대선주조 조우현 대표, '<b>어린이</b> 교통안전 릴레이 챌린지' 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005609666,대선주조는 일 대선주조 조우현 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 캠페인에 동참했다고 밝혔다 어린이 교통안전 릴레이 챌린지 캠페인은 지난해 월 
조강래 의령소방서장, <b>어린이</b> 교통 안전릴레이 챌린지 참여,http://fpn119.co.kr/164621,조강래 의령소방서장은 일 어린이 보호구역 내 교통사고 예방을 위해 어린이 교통안전 릴레이 챌린지에 참여했다 이는 행정안전부가 주관하는 챌린지로 어린이 보호구역 내 문화를 정착하고 교통사고 예방에 대한 
대선주조 조우현 대표, <b>어린이</b> 교통안전 릴레이 챌린지 동참,,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004605794,대선주조 조우현 대표가 운전자들의 어린이 보호구역 내 교통사고 예방을 위해 나섰다 대선주조는 일 대선주조 조우현 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 
조우현 대선주조 대표, ‘<b>어린이</b> 교통안전 챌린지’ 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=005&aid=0001471368,조우현 대선주조 대표가 어린이 보호구역 내 교통사고 예방 캠페인에 힘을 보탰다 대선주조는 일 조 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 캠페인에 
용인시, <b>어린이보호구역</b> 6곳 안전사고 예방시설 정비,http://www.nspna.com/news/?mode=view&newsid=527988,김병관 기자 경기 용인시시장 백군기는 일 기흥구 청곡초등학교 수지구 풍덕초등학교 앞 등 관내 어린이보호구역 곳의 안전사고 예방시설을 정비했다 어린이보호구역 내에 차량의 서행을 유도하는 시설을 정비해 
대선주조 조우현 대표 <b>어린이</b> 교통안전 캠페인 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=008&aid=0004646409,대선주조 조우현 대표가 운전자의 어린이 보호구역 내 교통사고 예방을 위해 나섰다 대선주조는 일 조우현 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 캠페인에 
이소영 의원 &quot;<b>어린이보호구역</b>에 미인가 대안학교 포함하는 길 열려&quot;,https://www.ibabynews.com/news/articleView.html?idxno=98698,어린이보호구역 지정 대상에 미인가 대안학교를 포함할 수 있도록 하는 도로교통법 개정안이 통과됐다 베이비뉴스 어린이 보호구역 지정 대상에 미인가 대안학교를 포함하는 등 보호구역 지정대상이 확대돼 어린이 
DB손보, <b>어린이</b> 교통안전 '옐로카펫·사랑나눔봉사' 협약,http://www.metroseoul.co.kr/article/20210927500024,손보는 최근 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫 설치 및 소외계층 지원을 위한 사랑나눔봉사 협약을 체결했다고 일 밝혔다 어린이 교통사고 예방을 위해 손보가 추진하고 있는 
교통사고 잦은 <b>어린이보호구역</b> 분석해 맞춤형 대책 만든다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005598079,행정안전부는 교통사고가 잦은 어린이보호구역의 사고원인 분석과 교통안전시설 개선을 위해 관계기관 합동 현장점검을 실시한다고 일 밝혔다 이번 점검은 교통사고가 건 이상 발생했거나 사망사고가 발생한 
인천시, <b>어린이보호구역</b> 내 교차로 노란신호등으로 전면 교체,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004707749,인천시는 어린이들의 안전한 보행환경 조성을 위해 운전자들이 어린이보호구역을 쉽게 알아볼 수 있도록 교통신호등을 노란신호등으로 교체를 추진한다 인천시는 인천경찰청과 협업해 지역 내 초등학교 등 개교 
서초구, 모든 <b>어린이보호구역</b>에 과속단속카메라 설치,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010708180,기사내용 요약연말까지 설치 완료 전국 지자체 중 최초 서울 서초구는 연말까지 모든 어린이보호구역에 과속단속 카메라 설치를 완료할 것이라고 일 밝혔다 이렇게 되면 전국 지자체 중 모든 보호구역 내 카메라를 대 
진주시 공익시설 <b>어린이</b> 상해 특별보험제 운영,http://www.idomin.com/news/articleView.html?idxno=773538,주요 보장내용은 공공시설 어린이놀이시설 등에서 발생한 사고 어린이집에서 보육 활동 중 발생한 사고 어린이보호구역 교통사고 부상치료비만 세 이하 미아찾기 지원금만 세 이하 폭발화재붕괴 
대선주조 조우현 대표 '<b>어린이</b> 교통안전 챌린지' 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003554212,대선주조 조우현 대표가 어린이 보호구역 교통사고 예방을 위해 나섰다 대선주조는 일 조우현 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 캠페인에 동참했다고 밝혔다 
구로구 '스마트 횡단보도' 확충…<b>어린이</b> 교통 안전 강화,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005606085,구로구 관계자는 관내 어린이보호구역 내 보행자 수와 교통 상황을 고려해 교통안전시설을 확대 설치하고 있다며 어린이 교통사고 예방을 위해 어린이 보호구역 내에서는 안전운전 해달라고 당부했다
구로구, <b>어린이보호구역</b> 3곳에 스마트 횡단보도 추가 설치,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001887884,서울 구로구구청장 이성는 교통사고 없는 안전한 통학로 조성을 위해 고산초 오정초 항동초 등 어린이보호구역 곳에 스마트 횡단보도를 추가 설치했다고 일 밝혔다 스마트 횡단보도는 첨단기술을 활용해 
